statement,truth
"""We spend about 75 percent of the entire cost of the military aspect of NATO.""",3
"""90 percent of fires in Arizona are human-caused.""",3
"""Tax dodging costs developing countries $200 billion every year.""",3
"""We win when voter turnout is high, we lose when it is low.""",2
"Richmond teachers have not gotten a raise ""for almost 10 years.""",2
"Says Jeb Bush and Marco Rubio ""had it set so that the winner takes everything, because they wanted to make sure that I didn’t get anything"" in the Florida primary.",1
"""We’re the worst state in the country at moving people from welfare to work.""",1
"""But for immigrants, we would have a contracting population...""",2
"""The city of Charlotte passed a bathroom ordinance mandate on every private-sector employer in Charlotte.""",2
"""You’re in more trouble if you leave your pet in the car than if you leave your child in the car.""",3
"Says New Hampshire’s second congressional district includes two counties where ""almost 5 percent if not more"" of residents are enrolled in the state’s expanded Medicaid program.",5
"Austin’s Stop Abuse for Everyone has seen in its offices ""sexual assault survivors that report being attacked by their ridesharing drivers, at a rate of one per month.""",3
"Statistics show ""you are about nine times more likely to be assaulted by a taxi driver"" in Austin than a driver for a ride-hailing service.",0
"About ""1 percent of all the gun sellers are responsible for more than half of the guns that are used in crimes.""",3
"Ten times, no Republican candidate for president had enough delegates to claim the nomination before the party’s convention, and seven of those times ""somebody who was not the leader of delegates was selected as the nominee of the party.""",4
"In nine Democratic debates, ""We’ve not had one question about a woman’s right to make her own decisions about reproductive health care, not one question.""",5
"The Republicans ""still want to privatize (Social Security). In fact, their whole idea is to turn over the Social Security trust fund to Wall Street.""",2
"""When this campaign began, I said that we’ve got to end the starvation minimum wage of $7.25, raise it to $15. Secretary Clinton said let’s raise it to $12.""",4
"Says Bernie Sanders ""has been largely a very reliable supporter of the NRA.""",2
"""I remain one of the poorer members of the United States Senate.""",4
"""We have tougher standards holding toy gun manufacturers and sellers to account than we do for real guns.""",3
"""Every bit of plastic that has ever been created still exists.""",1
"""My numbers are better right now than Ronald Reagan’s numbers were with Jimmy Carter.""",1
"""Senate Bill 1070, simply, just mirrors federal law.""",2
"""There are 31 other states and 10,000 other cities that have the same type of policies that we just passed,"" referring to North Carolina’s House Bill 2.",3
"Says Hillary Clinton supported and continues to ""support fracking.""",4
"If the mayor were really serious about supporting Philly’s schoolchildren and handling our city’s looming fiscal crisis, he could begin by slashing the size of his own administration, which is already 45 percent larger than his predecessor’s and 40 percent more costly.",3
"In every ethics case that has resulted in a formal sanction, ""there’s been an investigative subcommittee that’s been established first.""",3
"""The Katy Freeway, or Interstate 10 west of Houston, is the widest freeway in the world, with up to 26 lanes, including frontage road lanes.""",1
"""Hedge fund managers and others in private equity pay much lower (tax) rates on their income than do truck drivers and teachers and nurses.""",1
"""The state that has the highest per capita number of ¦ guns that end up committing crimes in New York come from Vermont.""",3
"""Right now, here in Texas, wind power is already cheaper than dirty fossil fuels.""",5
"""The polling shows over and over again that, unlike Donald Trump, that with me as the nominee, we beat Hillary Clinton.""",2
"Florida’s regulations on the payday lending industry are ""stronger than almost any other state.""",1
"Says a company that got tax breaks from the state later ""laid off 100 Ohioans, even as its CEO cut a half-million-dollar check to Kasich’s super PAC.""",4
"""In Malaysia ¦ many of the workers are indentured servants because their passports are taken away when they come into this country and are working in slave-like conditions.""",5
"""Poll after poll after poll shows me beating Hillary.""",2
"Says the Congressional Budget Office ""is expecting a protracted economic malaise for at least the next decade under current policies.""",3
Says there were over 600 reports of Texas votes for Donald Trump in the state’s 2016 Republican primary virtually all getting tallied for Marco Rubio.,0
"""Team Trump has accused Ted Cruz of fraud"" in Iowa, Texas, Colorado, Oklahoma, Louisiana, Kansas, Maine, Utah and Wisconsin.""",3
"""The largest U.S. companies would owe $620 billion in U.S. taxes on the cash they store in tax havens.""",4
"""For the votes that we got, I think we spent, on average, two bucks a pop. Compared to 42 bucks"" for incumbent Milwaukee County Executive Chris Abele.",1
"States with ""the highest gun ownership rates also have the highest suicide rates.""",5
"Says Hillary Clinton voted ""for virtually every trade agreement that has cost the workers of this country millions of jobs.""",3
"Polls show ""Hillary Clinton wins every time with Donald Trump"" as her opponent.",5
"""Rhode Island: 3% bigger at low tide.""",0
"Charlotte’s anti-discrimination ordinance would have ""opened all bathrooms to all sexes at all times"" if it hadn’t been overturned.",1
Says 80 journalists have been killed in Mexico in the last decade.,3
"""It’s clear"" that Hillary Clinton ""violated national security laws.""",1
"Says Bernie Sanders ""wants higher standards for toy guns than real guns.""",3
"""Because of (the 1994 crime bill), we had a 25-year low in crime, a 33-year low in the murder rate, and listen to this, because of that and the background check law, a 46-year low in the deaths of people of gun violence.""",2
"Mexico receives ""approximately $24 billion a year in remittances from Mexican nationals working in the United States. The majority of that amount comes from illegal aliens.""",3
"Race to the Top grants ""require participating states to adopt the Common Core standards as a condition for receiving federal funding.""",2
"""There are no rules governing"" the 2016 Republican convention, ""the rules have not been set.""",4
"A study ""from the Massachusetts Institute of Technology, Harvard, and Dartmouth concluded that Medicaid’s value to its beneficiaries is significantly lower than the actual cost of the program.""",3
"""Attorney General Roy Cooper refuses to do his job"" by not defending House Bill 2 in a lawsuit.",3
"Says Hillary Clinton ""has been saying lately that she thinks that I am, ’not qualified to be president.’ """,2
"Say Bernie Sanders ""won Nevada after all.""",1
"""More people are struck by lightning than commit in-person voter fraud"" by impersonation.",5
"""The economy always does better when there’s a Democrat in the White House.""",3
"Says Rick Scott ""stripped women of access to public health care.""",3
"Says Rick Scott ""cut Medicaid"" so people can’t ""get Obamacare.""",3
"""Last year (the U.S. women’s soccer team) generated $20 million more than the men’s team and were paid almost four times less.""",2
"""We got a million jobs.""",4
"""Many just call him ’Lyin’ Ted.’ ... His TV ad about John Kasich? Lie! Stations had to pull it off the air.""",1
"When mentioning Villanova’s buzzer-beating win in the national championships, Hillary Clinton said: ""I love those come-from-behind victories.""",2
Says his campaign has released his past tax returns.,1
"""A college loan is the only loan in the United States that you cannot refinance when interest rates go down.""",4
"""I have 2 and a half million more votes than he (Sanders) does.""",4
"Says Erv Nelson voted ""yes on the pro-amnesty SJR 21, a bill urging Congress to provide citizenship for those residing illegally in our country.""",4
"The ""rate of uninsured Americans (is) 8.8 percent.""",3
"""Most funding for tuberculosis research (is) provided by the U.S. National Institutes for Health.""",4
"Says Bernie Sanders ""fundamentally changed the lives"" of Immokalee farm workers in Florida for the better.",3
"""Millionaires working side by side with George Soros are bankrolling (John Kasich’s) super PAC.""",1
"""Evidence shows Zika virus turns fetus brains to liquid.""",0
"""Recent reports state that the U.S. Customs and Border Protection has apprehended several members of known Islamist terrorist organizations crossing the southern border in recent years.""",4
"China is ""in the South China Sea and (building) a military fortress the likes of which perhaps the world has not seen.""",3
"""We’ve rebuilt China.""",3
"Supreme Court nominee Merrick Garland ""voted to uphold"" D.C.’s ban on handguns.",1
"Says his free public university tuition program ""is paid for ¦ by a tax on Wall Street’s speculation.""",2
"""Twenty-seven out-of-state pharmaceutical companies have raised more campaign dollars (against a drug price control measure) than all other state ballot measures have raised to date, combined.""",3
"""Over 97 percent of the scientific community ¦ believe that humans are contributing to climate change.""",4
"""I have now put out all of my emails.""",3
"""I’m the only candidate in the Democratic primary, or actually on either side, who Wall Street financiers and hedge fund managers are actually running ads against.""",0
"The 2016 federal omnibus spending bill ""funds illegal immigrants coming in and through your border, right through Phoenix.""",0
"North Carolina spent ""almost as much as it spends on government rape crisis programs in a year"" to convene a special session for HB2.",2
"""There have not been any public safety issues"" in cities that allow transgender people to use the bathroom of the gender they identify as.",4
"Expanding the sale of full-strength beer and wine to grocery stores is ""good for everybody.""",3
"""It was (Rob Portman’s) job to stop China’s illegal dumping of steel. He failed, looked the other way, did nothing.""",1
"Says Chris Abele ""has had five years and he’s done nothing"" about the Estabrook Dam.",1
"Says Donald Trump ""wants us to pull out of NATO.""",2
"""Youth unemployment in minority communities is about 40 to 45 percent.""",4
Says Ted Cruz distributed the ad showing a nude Melania Trump on a rug.,1
"Emory University students were provided counseling after someone wrote ""Trump 2016"" in chalk on campus.",2
"""Florida is investing record amounts of funding for HIV/AIDS prevention.""",2
"Despite the passage of HB2, ""towns, cities and counties in North Carolina are still allowed to set stricter non-discrimination policies for their own employees if they choose.""",3
"""The EPA has tried to define a puddle or a drainage ditch on your farm to be navigable waters and thus subject to massive environmental regulations.""",2
"Says the GOP is ""helping pay for"" Justice Rebecca Bradley’s campaign and ""she recently skipped court to attend an event paid for"" by Scott Walker’s ""lobbyist friends.""",4
"""The barber regulation here in Missouri is 10,000 words long¦.the book of Revelation is (also) 10,000 words long.""",5
"""We have not taken away any rights that have currently existed in any city in North Carolina"" with the passage of HB2.",1
"Says that when Michelle Fields ""found out that there was a security camera, and that they had her on tape, all of a sudden that story changed.""",0
"""There’s a tremendous tax that we pay when we (American businesses) go into China, whereas when China sells to us there’s no tax.""",2
"Wisconsin’s ""effective"" unemployment rate is 20 percent.",1
"""After taking hundreds of thousands of dollars from Goldman Sachs and other Wall Street banks, (Debbie Wasserman Schultz) has voted to prevent the Consumer Financial Protection Bureau from regulating payday loans and addressing racial discrimination in car loans.""",4
"When it comes to fighting terrorism, ""Another thing we know that does not work, based on lots of empirical evidence, is torture.""",5
"""Big soda has a lot of money. They make a lot of profit off their product and they market in neighborhoods that suffer from these very things that we’re trying to cure.""",5
"Says JoAnne Kloppenburg ""has told us she thinks it’s her job to promote a more equal society.""",4
"""It’s actually easier for the United States to get flight manifests from E.U. nations than it is for E.U. nations to get them from their own neighbors, thanks to an agreement the U.S. negotiated when I was secretary of state.""",4
"Nevada lawmakers ""permanently cut taxes for over 95 percent of Nevada’s businesses.""",1
"""Austin’s the fastest-growing city in the country the last five years.""",4
"""Since 1900, six (U.S. Supreme Court) justices have been confirmed during election years, including Justice Anthony Kennedy, who was confirmed in the final year of the Reagan Administration.""",5
"An image in a Chris Abele TV ad depicts ""wealthy citizens"" who would benefit from a ""lake"" created by the controversial Estabrook Dam.",0
"""Will (HB2) threaten federal funding for public schools under Title IX? No, according to a federal court which has looked at a similar issue.""",3
"Under Hillary Clinton, State Department ""officials were sending official thank-yous to people who gave to the Clinton Foundation.""",1
"""During three and a half years of campaigning,"" Lamar Smith ""has never once appeared at a moderated debate to defend his positions on the issues.""",5
"Stephen Zappala is ""the only DA in our state to convict an on-duty police officer of criminal homicide.""",3
"Congressman Jeff Denham ""has agreed all illegal immigrants should be detained, arrested and deported.""",2
"""This unit is the only one in the state that strives to implement the principles of Mother-Friendly care as outlined by the national Coalition for Improving Maternity Services Mother-Friendly Childbirth Initiative.""",1
"""We have less Americans working now than in the ’70s.""",2
"Says Barack Obama was happily photographed holding a T-shirt with revolutionary Ernesto ""Che"" Guevara’s face on it.",0
"Says her representation of an ex-boyfriend ""who was then my friend"" in a family law case is ""something that lawyers do on a regular basis.""",1
"Congress will begin its recess ""without having allocated one penny"" to fight Zika.",4
"""Virginia now is the number one exporter of (agricultural) products to Cuba. We have now jumped to number one.""",5
"""Bernie Sanders passed more roll call amendments in a Republican Congress than any other member.""",5
"""The Trans-Pacific trade deal could cost America 448,000 more jobs.""",3
"""80 percent of the American people haven’t gotten a pay raise since the crash.""",4
"""To this day, (the Cuban government) is a regime that provides safe harbor to terrorists and fugitives.""",4
"""Out of 67 counties (in Florida), I won 66, which is unprecedented. It’s never happened before.""",0
"(Since 1990) ""every continent has seen substantial gains, with individual incomes growing by more than a third in every region of the developing world.""",4
"""When those restrictions expire (in the Iran nuclear deal), Iran will have an industrial-size military nuclear capability ready to go.""",1
"Texas ""had the highest level of turnout than ever before in the primary.""",3
"Mitt Romney did not ""endorse"" Ted Cruz, even though he said he is voting for Cruz and urged others to do likewise.",3
"""Today, the United States has, sadly, one of the lowest voter turnouts of any major country on earth.""",4
"""Over the last 30 years, extreme poverty has been cut in half.""",4
"""Ukraine voluntarily gave up its nuclear weapons because the United States of America"" said it would ""ensure (its) territorial integrity from Russia.""",1
"""Texas has a higher incarceration rate than Russia or Iran.""",4
"Says Judge JoAnne Kloppenburg agreed to use a technicality to give a convicted sex offender a new hearing because ""he didn’t understand the charge.""",2
"""During the last five years, Iran has perpetrated terror attacks in 25 different countries on five continents.""",3
"Superdelegates ""have never been a determining factor in who our nominee is since they’ve been in place since 1984.""",4
"Nevada Republicans ""didn’t do one single thing to cut spending"" in 2015.",2
Says there are no political prisoners in Cuba.,1
"Says Senate Republicans are ""following a longstanding tradition of not filling vacancies on the Supreme Court in the middle of a presidential election year.""",1
"""More people were killed by terrorists in 2015 than in any other year ever, after an 80 percent increase from 2014.""",4
Ted Cruz is in negotiations to be Donald Trump’s running mate.,1
"""70 percent of Americans believe that we are on the wrong path.""",4
"""We have ten different tax brackets and if you’re making $9,000, you’re already in the top tax bracket.""",1
"""According to the Centers for Disease Control and Prevention (CDC), about 120 Americans on average die from a drug overdose every day. Overall, drug overdose deaths now outnumber deaths from firearms.""",5
"""North Carolina spends $855 less per student than it did before the Great Recession, and we have one of the lowest per pupil spending levels in the nation.""",4
"Says Donald Trump promised ""to take care of everybody (through government-run healthcare and) the government’s going to pay for it.""",1
"""Our campaign depends on small donations for the majority of our support.""",2
"""Requiring photo ID would keep about 200,000 Missourians from voting.""",3
"The Trump Winery near Charlottesville, Va. is the ""largest winery on the East Coast.""",1
"In the primary election, a ""right-wing group spent more than $100,000,000 to support"" Supreme Court Justice Rebecca Bradley.",1
"Senate Democrats ""have never held up a Supreme Court nomination.""",4
"Says Donald ""Trump got, you know, $1.8 billion worth of free media. I got, like, none.""",4
"""We do not have an overcrowding problem. As a matter of fact, Rhode Island has one of the lowest incarceration rates in the country.""",5
"""Every (U.S. Supreme Court) nominee since 1875 has received a nomination hearing.""",2
"""For more than 80 years, there has not been a nomination and confirmation of a Supreme Court Justice in a presidential election year. This is simply not the time to break with decades of bipartisan practice.""",3
"""Given the results of the primary, the vote of one New Hampshire superdelegate is equal to the votes of about 10,000 grassroots activists.""",4
"Says Supreme Court nominee Merrick Garland ""voted, so the folks know, in Washington, D.C., to keep guns away from private citizens.""",1
"""The right-wing extremists are trying to take this seat so they can push their anti-choice and anti-equality agenda through our State House.""",0
"The Mitchell Park Domes ""lose about $1 million-plus every year"" and ""the number of people going to the Domes has been going down.""",1
"""Here in Pennsylvania, the annual cost for infant childcare is over $10,000 per child, which is more than most families pay in rent and almost the same cost as in-state college tuition.""",4
"""Six justices"" on the U.S. Supreme Court have been ""confirmed in presidential election years since 1912.""",5
"""Arizona schools rank 45th in the nation, dead last in funding per student.""",4
"As a sign of ""extraordinary progress,"" ""there are half as many (primary-age) children out of school today as there were 15 years ago.""",3
"""We were able to provide $428 million worth of property tax relief.""",4
"""Republicans control the U.S. Senate with 54 seats, but those 54 senators were elected by only two-thirds the number of voters who elected the Democrats. In the Senate, the majority party represents a minority of the people.""",3
"Under the Iran nuclear deal, ""we give them $150 billion, we get nothing.""",1
"Illegal ""immigration is lower than it’s been in 40 years.""",4
"""You know what Truman said, ’You want a friend in Washington, buy a dog.’ """,1
"""The fact is voter fraud is rampant.""",0
"""Six justices"" on the U.S. Supreme Court have been ""confirmed in presidential election years since 1912.""",5
"Says when Bernie Sanders was in college, Sanders said ""something very similar"" to what conservative Wisconsin Supreme Court Justice Rebecca Bradley had written as a college student in the 1990s -- that ""women have a legitimate role in date rape.""",3
"Says a YouTube video shows Thomas DiMassimo, the man who rushed Trump at an Ohio rally, ""dragging the American flag on the ground like it was a piece of garbage.""",5
"California ""cut about $1.3 billion in child care (during the recession). We’ve only reinvested about $300 million.""",4
"""The [Obama] administration’s regulatory assault on coal-fired energy has put thousands of Americans out of work""",2
"Says President Barack Obama has ""been presiding over our jobs going overseas for seven years.""",2
"Says Donald Trump and Marco Rubio opposed Cruz’s ""efforts to defund Planned Parenthood.""",2
"""Gun violence is by far the leading cause of death for young African American men, outstripping the next nine causes of death combined.""",5
"""More lives are lost from violence against women, sex-selective abortion, female infanticide, suicide, egregious maternal mortality, and other sex-linked causes than were lost during all of the wars and civil strife of the 20th century.""",3
"""Roy Cooper won’t say how he will pay for ’free’ college tuition.""",3
"The U.S. ""doesn’t make television sets anymore.""",5
The rate of U.S. female homicide victims outnumbers 24 other developed countries by more than 2½ to 1.,3
"Susie Lee and her husband ""own 17 homes across the country and use their private jet to take vacations,"" and invest in ""companies like Walmart, Halliburton and GEO Group.""",4
"Says Hillary Clinton told the Des Moines Register on Aug. 8, 2015: ""I will get the NRA shut down for good if I become president. If we can ban handguns, we will do it.""",0
"""One would have to go back more than a century to find a scenario where a president’s nominee for the Supreme Court was confirmed by the opposition party in the Senate when the vacancy occurred during an election year.""",5
"""We understand that this heroin is primarily coming from Mexico, over the border.""",5
"""Seventy percent of Missourians support voter photo ID legislation.""",4
"""The Walton family of Walmart ... This one family owns more wealth than the bottom 40 percent of the American people.""",5
"Says the man who rushed the stage at him in Dayton, Ohio, ""had chatter about ISIS, or with ISIS"" in his social media posts.",1
"""More than once, I’ve actually had a conversation with the protesters on substance.""",5
"""Americans haven’t had a raise in 15 years.""",4
"Says Ted Cruz’s wife Heidi ""will be the very first pro-life first lady.""",4
"Says Barack Obama ""has the legal authority to let in really however many refugees he wants, from whatever country.""",3
"""Republican Bob Donovan"" has ""run as a Republican time and again.""",3
"Foreign aid ""is less than 1 percent of our federal budget.""",5
"""GDP was zero essentially for the last two quarters.""",1
"""I opposed TPP (Trans-Pacific Partnership) and have always opposed TPP.""",4
"Says Donald Trump ""has said he wants to be neutral on Israel and the Palestinians""",3
"Common Core is ""education through Washington D.C.""",1
"""As a legislator, (Marco Rubio) flipped on a key vote after making a quick $200,000 from selling the house to the mother of the bill’s lobbyist.""",2
"In 2006, Bernie Sanders ""voted in the House with hard-line Republicans for indefinite detention for undocumented immigrants, and then he sided with those Republicans to stand with vigilantes known as Minutemen who were taking up outposts along the border to hunt down immigrants.""",4
"""Now we have ISIS coming over the (U.S.-Mexico) border.""",1
"""When the City and the Fairmount Park Conservancy invested $5 million in Hunting Park, crime went down 89 percent within a half mile radius of the park over the next three years.""",5
"""The Clean Power Plan is something that Sen. Sanders has said he would delay implementing.""",1
"""If you look at Latino kids between 17 and 20 who graduated high school, 36 percent of them are unemployed or underemployed. ¦ African-American kids are unemployed or underemployed to the tune of 51 percent.""",4
"When Honduran children came into this country, ""Secretary Clinton said send them back.""",4
"When New York Gov. Eliot Spitzer wanted to ""provide driver’s licenses to those who are undocumented. (Hillary Clinton) said don’t do it.""",4
"Regarding her State Department email practices, ""my predecessors did the same thing.""",2
"Banks paid Hillary Clinton ""over $1 million and are contributing millions more to elect her.""",3
"""As governor, Kasich delivered the largest tax cut in the nation.""",2
"""Trump refuses to denounce the KKK.""",2
Says Donald Trump said the government is going to pay for everybody to have health care.,1
"""When the auto industry was going under, car parts companies like"" Johnson Controls ""begged taxpayers for a bailout, and they got one.""",3
"""Twenty million Americans are out of work.""",3
"""Over 32,000 people die from #GunViolence every year. Yet, (The U.S. Centers for Disease Control and Prevention) is banned from researching ways to prevent this.""",4
"Donald Trump has ""described Hillary Clinton as one of the best secretaries of state in history.""",2
"When John Kasich became governor of Ohio, ""there was an $8 billion budget deficit and now there’s a $2 billion surplus.""",4
"""Almost every poll has shown that Sanders vs. Trump does a lot better than Clinton vs. Trump ¦ and, that’s true nationally.""",4
"Says Marco Rubio ""skipped 18 defense votes including one to arm the Kurds to fight ISIS.""",3
"Says Donald Trump ""bans disabled veterans from his high rise.""",2
"Like Marco Rubio, Sen. Barack Obama had ""one of the worst attendance records in the Senate.""",5
"Says Michael Bennet wants to close Guantanamo Bay prison and bring terrorists ""right here to Colorado.""",1
"""(Flint, Mich., is) paying three times more for poison water than I am paying in Burlington, Vt., for clean water.""",4
"""When you’re white ... you don’t know what it’s like to be poor.""",1
"""NASCAR endorsed Trump""",3
"Says Bernie Sanders ""was against the auto bailout"" and ""voted against the money that ended up saving the auto industry.""",3
"""NAFTA, supported by the Secretary (Clinton), cost us 800,000 jobs nationwide.""",2
"""We have a higher rate of tested lead in people in Cleveland than in Flint.""",4
"""President Obama took more money from Wall Street in the 2008 campaign than anybody ever had.""",4
"""The Great Wall of China, built 2,000 years ago, is 13,000 miles (long).""",3
"""Every year there is a slightly smaller percentage of American households owning guns.""",3
"""A single mother of two can’t qualify for basic healthcare through Medicaid if she makes more than $3,504 dollars a year.""",4
"""There’s no correlation between primary turnout and wins in the fall in the last 11 elections.""",5
"""Statistics show 2 to 3 Texas women per week have major complications and 10 women per week seek help at an ER after an abortion.""",1
"""There is a precedent"" for not nominating someone to the U.S. Supreme Court ""in the middle of a presidential election.""",1
"Says he ""tore down hundreds of abandoned homes that served as havens for crime and reduce(d) the value of our neighborhoods.""",4
"U.S. global AIDS spending helped reduce ""political instability and violence"" by ""40 percent"" in recipient nations.",2
"Says Donald Trump has written 10 checks to Hillary Clinton ""and four of those checks were not to her Senate campaign. ¦ It was to her presidential campaign.""",3
"The wives of the 9/11 hijackers ""knew exactly what was happening"" and went back to Saudi Arabia two days before the attacks to watch their husbands on television flying the planes.",1
"Marco Rubio ""has the No. 1 absentee record in the United States"" Senate.",4
"In head-to-head polls for the general election, ""I beat Hillary Clinton by more than anybody, by 11 points.""",4
"""For every time the state gets paid a dollar in taxes (on gambling), somebody loses $6.""",3
"""Spending on welfare, on prisons, and education, all of those have dropped by hundreds of millions of dollars"" because of Arizona’s immigration laws that drove out undocumented immigrants.",2
"Says Mahatma Gandhi once said, ""First they ignore you, then they laugh at you, then they fight you, then you win.""",1
"""Every Republican Senate candidate has now announced whether or not they support the Senate taking up the Supreme Court vacancy¦except for Congressman Heck.""",1
"""An economic impact study found that for every $1 invested in pre-K in Pennsylvania, a total of $1.79 is generated in total spending within the state.""",3
"""I don’t know anything about David Duke.""",0
"""Since (welfare reform) was signed into law, the number of families living in extreme poverty has more than doubled.""",4
"Says ""Harry Reid, when asked about the Republican field, said the Republican he likes the best is Donald Trump, and he said, because I can work with him. He’ll cut deals.""",1
"""There have been multiple media reports about (Donald Trump’s) business dealings with the mob, with the mafia.""",5
"Says Milwaukee County Executive Chris Abele is a ""billionaire.""",1
"""There is not a single candidate in the Republican primary that thinks we should do anything about climate change.""",4
"Says ""the New York Times can write a story that they know is false"" yet ""they can’t basically be sued.""",1
"Says Donald Trump has said ""he would be neutral between Israel and its enemies.""",3
"""Texas is home to millions of Latinas, but the state has never elected a Latina to Congress.""",5
"""There is no evidence to support the claim that Guantanamo is used as a recruiting tool"" for terrorists.",3
"The Chris Hani Baragwanath in South Africa is ""the world’s third-biggest hospital.""",3
"The Every Student Succeeds Act ""did away basically with Common Core.""",2
"""We work longer hours than any people in the industrialized world, including the Japanese.""",2
"""We (Trump University) have an ’A’ from the Better Business Bureau.""",1
"Says he supported the 1994 crime bill because ""there is a ban on assault weapons in that bill.""",3
"""Building a wall"" on the U.S.-Mexico border ""will take literally years.""",5
"Says Travis County Commissioner Gerald Daugherty ""claims to have taken a pay cut, but for 2016, he voted to raise his salary by 19.6 percent.""",2
"""When Republican extremists tried to take away abortion rights ¦ Blake Rocap stopped them.""",2
"""There isn’t a single (Texas) legislator under the age of 30, even though millennials make up 25 percent of the electorate in Texas.""",4
"""It’s been since 1888 that a Senate of a different party than the president in the White House confirmed a Supreme Court nominee.""",1
"""You are three times more likely to be able to get a mortgage if you’re a white applicant than if you’re black or Hispanic, even if you have the same credentials.""",1
"""African-Americans are more likely to be arrested by police and sentenced to longer prison terms for doing the same thing that whites do.""",5
"""Our community (Tampa Bay) is one of the 10 most threatened by the sea level rise in the world.""",4
"When Mitt Romney chose Paul Ryan as his vice-presidential running mate, ""that was the end"" of Romney’s chances to win.",1
"Says ""Barack Obama is apparently not for vetting people and saying just anybody can come"" to the United States.",1
"""A couple of debates ago, (Donald Trump) said if you don’t support socialized health care, you’re heartless.""",0
"Says Donald Trump hired illegal workers ""from Poland and he had to pay a million dollars or so in a judgment.""",3
"""When they passed Obamacare, they put a bailout fund in Obamacare. ¦ We led the effort and wiped out that bailout fund.""",2
"Says Ted Cruz ""said I was in favor in Libya. I never discussed that subject.""",0
"""If it weren’t for me ¦ (illegal immigration) wouldn’t even be a big subject.""",1
"""Malawi has just 300 doctors for 16 million people.""",4
"Says Milwaukee County Executive Chris Abele spent ""$100,000 of taxpayer money on a new luxury SUV.""",1
"Says that in the Philippines more than a century ago, Gen. John Pershing ""took 50 bullets, and he dipped them in pigs’ blood,"" and shot 49 Muslim rebels. ""The 50th person, he said, ’You go back to your people, and you tell them what happened.’ And for 25 years, there wasn’t a problem.""",0
"Says Donald Trump ""wants to keep big government in charge"" of federally-owned land.",4
"Says he cured Charlie Sheen and the island of Comoros of HIV with ""milk from goats, which had arthritis.""",0
"""People (are) paying more in taxes than they will for food, housing and clothing combined.""",3
"""So far in 2015, there have been more mass shootings than days.""",2
"""The people that perpetrated that travesty in San Bernardino had never been to the Middle East.""",0
"""In Ohio, more than half the providers of safe and legal abortion have had to shut down"" since Gov. John Kasich took office in 2011.",3
"""There is great disparity, tremendous disparity, in the (capital) funding on a per-student basis between our traditional public schools and our charter public schools.""",4
"""Drug overdoses are now the second-most common cause of death in New Hampshire.""",1
"""Mr. Trump is self-financing his campaign, so we don’t have any donors.""",1
"""Why are Muslim armies so useless against ISIS? ... There are 20,000 or 30,000 (ISIS fighters). The countries surrounding ISIS have armies totaling 5 million people.""",4
"""It’s highly unusual to have a Supreme Court confirmation in a presidential election year. The last one was 1940.""",3
"With Obamacare, ""You have no options .. you can’t get competitive bidding.""",2
"""About 70 percent of Republicans nationwide ... don’t think Donald Trump is the right guy"" to take on Hillary Clinton in November.",4
"Says Missouri families’ ""earning power is about $5,000 less today than it was at the turn of the century.""",4
"Blocking a U.S. Supreme Court nomination during the remaining months of President Obama’s term ""would leave the nation’s highest court with an unprecedented year-long vacancy.""",2
"The Arizona State Board of Education’s ""failure to report teachers whose certifications have been revoked or suspended ... resulted in the death of a student.""",4
"In Sauk City, Wisconsin, ""the ID office"" that provides identification for voting ""is only open on the fifth Wednesday of every month"" -- a total of four days in 2016.",4
"""In New Hampshire, I spent $3 million. Jeb Bush spent $44 million. He came in five, and I came in number one.""",4
"""Two-thirds of our kids can’t read at grade level.""",3
"""There’s never been a (U.S. Supreme Court) vacancy in the last, I think, 30 years, lasting longer than 237 days.""",5
"""Barack Obama will somehow manage to add more than $8 trillion to the national debt, which is more debt than the 43 presidents who held office before him compiled together.""",4
"In 2005 and 2007, "" Joe Straus received a 100 percent rating by NARAL (the National Abortion and Reproductive Rights Action League).""",2
"Says Dontre Hamilton, who was killed during a confrontation with a Milwaukee police officer, was ""unarmed.""",4
"""People have actually broken down the transcripts for oral arguments and (Antonin Scalia) told more jokes and got more laughs than any of the other justices.""",5
"""We are almost halfway to our goal of 1,000 rapes prosecuted!""",5
"Nevada is ""still a state that is 80 percent white voters.""",1
"""The richest 80 people in the world own more wealth than the bottom half of the global population.""",4
"Travis County residents ""trusted me to take on Tom DeLay  -  and we won.""",2
"Says Hillary Clinton won ""health care for 8 million children.""",4
"Says Marco Rubio ""went on Univision, and in Spanish he promised that he would not on the first day in office rescind President Obama’s illegal executive action.""",3
"Says Donald ""Trump supported impeachment of President (George W.) Bush.""",5
"Says ""the one person (Donald Trump) has suggested that would make a good justice is his sister, who is a court of appeals judge appointed by Bill Clinton. She is a hardcore pro-abortion liberal judge.""",2
"North Korea’s missiles are ""not going to have a capability to reach the United States anytime real soon.""",5
"""The most likely triggering cause of (microcephaly)"" is the ""DTaP shot, a vaccine that had been recently mandated by the Brazilian government to be injected into pregnant women.""",1
"""When Jeb (Bush) was governor, his first four years as governor, his Medicaid program grew twice as fast as mine.""",4
"Since January 2015, the ""majority of our"" Austin City Council ""meetings have extended past 10 p.m."" and ""many of our meetings have gone past midnight.""",2
"""Under Virginia law, if you are a non-federally licensed (gun) dealer, you cannot get a background check even if you want one.""",2
"""It has been 80 years since a Supreme Court vacancy was nominated and confirmed in an election year. There is a long tradition that you don’t do this in an election year.""",3
